target_rps,throughput_rps,duration_s,requests,success,failed,error_pct,p50_ms,p95_ms,p99_ms,max_ms
"5","1.2319647495125123","29.79960203","150","76","74","49.33333333333333","30002.943663","33093.228159","34396.009603","34454.180688"
"10","1.2170322902188422","29.899508364","300","75","225","75","30003.213806","32881.70583","34584.817277","35141.249715"
"25","1.1923090892985742","29.960855502","750","74","676","90.13333333333333","30003.384505","31117.615061","33673.457216","35418.894043"
"50","1.2344301379087637","29.98017738","1500","76","1424","94.93333333333334","30003.204004","30007.620198","33047.591251","34639.533184"
"75","1.235885232988718","29.985481234","2250","77","2173","96.57777777777777","30003.201631","30007.133638","32850.873397","34385.309945"
"100","1.3024124816377696","29.989493839","3000","81","2919","97.3","30003.282436","30007.66786","32610.396679","34854.382791"
"150","1.1507413649037805","29.993407381","4500","72","4428","98.4","30003.254419","30006.468586","30060.267371","34932.466025"
"200","1.2113922919118032","29.995497054","6000","77","5923","98.71666666666667","30003.144947","30009.426794","30031.131629","35502.764836"
"300","0.9447169832597282","29.985984848","8616","61","8555","99.2920148560817","30005.338016","30557.985305","31971.486685","38933.739583"
"400","1.094250751858185","29.981699122","7855","73","7782","99.07065563335455","30004.114868","34333.727264","35553.410657","39332.756123"
